"Tenid","CondType","CondNo","Seq","CondText","CategoryId"
"L38/52","Condition","2","2","To properly maintain the installations as directed by the Mining Engineer-District Inspector for Mines (""the Inspector"").",0
"M39/248","Condition","31","56","Construction of the proposed second lift, above 451m RL, of the tailings facility referred to in ""Tailings Dam 2 Raising and Rehabilitation Works Approval Application"" dated February 1995 not proceeding until approved in writing by the State Mining Engineer.",0
"M45/518","Condition","7","12","No developmental or productive mining or construction activity being commenced until the tenement holder has submitted a plan of the proposed operations and measures to safeguard the environment to the Director, Environment, Department of Mines and Petroleum (DMP) for assessment; and until his written approval has been obtained.",0
"E47/3627","Condition","8","8","Mining on any road, road verge or road reserve on Miscellaneous Licence 47/19 & 47/100 being confined to below a depth of 15 metres from the natural surface.",0
"E47/4203","Endorsement","1","7","The grant of this Licence has been made in accordance with the RTIO /PKKP Indigenous Land Use Agreement ILUA WI2012/011 between the PKKP people WCD2015/003 and Hamersley Iron Pty Limited dated 15 November 2012 registered under the Native Title Act 1993 on the 24 April 2013 .",0
"E47/328","Condition","6","6","No interference with the use of the Aerial Landing Ground and mining thereof being confined to below a depth of 15 metres from the natural surface.",0
"G04/13","Condition","10","11","All topsoil and vegetation being removed ahead of all mining operations and being stockpiled appropriately????for later respreading or immediately respread as rehabilitation progresses.",0
"M15/1564","Condition","19","22","The Lessee submitting to the Executive Director, Environment Division, DMIRS, a brief annual report outlining the project operations, minesite environmental management and rehabilitation work undertaken in the previous 12 months and the proposed operations, environmental management plans and rehabilitation programmes for the next 12 months. This report to be submitted each year in:
* March",0
"E70/4882","Condition","17","19","As the Yued People ILUA (relevant ILUA) applies to this Exploration Licence , the Licensee must before exercising any of the rights, powers or duties pursuant to this Exploration Licence over that portion of the area of land the subject of the relevant ILUA:
(i) subject to paragraph (ii), execute and enter into in respect of this Exploration Licence an Aboriginal Heritage Agreement (as defined in the relevant ILUA) with the Native Title Agreement Group or Regional Corporation (as the case requires) for the relevant ILUA on terms and conditions agreed by the Licensee and the Native Title Agreement Group or Regional Corporation (as the case may be) for the relevant ILUA (the Parties) or, failing such agreement being reached between the Parties within 20 Business Days of the commencement of negotiations, execute and enter into a NSHA subject only to any necessary modifications in terminology required for the tenure;
(ii) where:
A. the Parties have been unable to reach agreement on the terms and conditions of an Aboriginal Heritage Agreement under paragraph (i); and
B. the Licensee executes a NSHA (subject only to any necessary modifications in terminology required for the tenure); and
C. The Licensee provides a copy of the NSHA to the Native Title Agreement Group or Regional Corporation (as the case requires) for the relevant ILUA for execution;
if the Native Title Agreement Group or Regional Corporation (as the case requires) does not execute the NSHA and provide a copy of the executed NSHA to the Licensee within 20 Business Days of receipt of the NSHA, the requirements of paragraph (i) do not apply; and
(iii) provide to the Department of Mines and Petroleum a statutory declaration from the Licensee (or if the Licensee is a corporation, from a director of that corporation on its behalf)] in the form contained in Annexure U to the Settlement Terms (as defined in the relevant ILUA), as evidence that the Licensee has complied with the requirements of paragraph (i) of this condition or that paragraph (ii) of this condition applies.""",0
"M45/619","Condition","13","17","On completion of operations, the area being restored to a condition as close as possible to that existing prior to commencement of operations.",0
"M37/170","Condition","30","39","Monitoring within the tailings facility pond, beach, embankment, underlying and surrounding aquifers shall be undertaken to enable performance to be compared with design assumptions. Monitoring shall be of sufficient density and frequency to ensure that responses to daily climatic and geologic events, daily operational changes or outside influences can be readily identified.",0
"M28/372","Condition","19","19","The Lessee submitting to the Executive Director, Environment Division, DMP, a brief annual report outlining the project operations, minesite environmental management and rehabilitation work undertaken in the previous 12 months and the proposed operations, environmental management plans and rehabilitation programmes for the next 12 months. This report to be submitted each year in:
* February.",0
"M15/1567","Condition","10","11","No action being taken to cause pollution to the water in either the drainage system or Victory Dam.",0
"G08/46","Endorsement","1","6","The lessee's attention is drawn to the provisions of:
* the Aboriginal Heritage Act 1972 and any Regulations thereunder. 
* the Noise Abatement Act, 1972;
* the Rights in Water and Irrigation Act 1914; and
* the Wildlife and Conservation Act, 1950 and Regulations.",0
"M77/582","Condition","20","54","Prior to any significant ground-disturbing exploration/prospecting activity, as defined by the State Mining Engineer, the lessee preparing a detailed program for each phase of proposed exploration for approval of the State Mining Engineer. This program to include:
* Maps and/or aerial photographs showing the proposed locations of all roads, tracks, camps, costeans and other disturbances;
* The purpose, specifications and life of such roads, tracks, disturbances, etc;
* Descriptions of all vegetation types (in general terms), land forms, and unusual features likely to be disturbed by such proposed disturbances.
* Proposals which may disturb any declared rare or geographically restricted flora and fauna;
* Techniques, prescriptions, and timetable for rehabilitation of all proposed disturbances;
* Undertaking for corrective measures for failed rehabilitation;
* Details of water requirements from within the designated area;
* Details of refuse disposal;
* Proposals for instruction and supervision of personnel and contractors in respect to environmental conditions; and
* Description of the environmental impacts and programs for their management.",0
"E52/3031","Condition","9","10","The licensee, at his expense, rehabilitating all areas cleared, explored or otherwise disturbed during the term of the licence to the satisfaction of the Executive Director, Environment Division, DMP. Such rehabilitation as is appropriate and may include:
* stockpiling and return of topsoil;
* backfilling all holes, trenches and costeans;
* ripping;
* contouring to the original landform;
* revegetation with seed; and
* capping and backfilling of all drill holes.",0
"E70/1437","Condition","17","18","All Mining Act tenement activities are prohibited within a 300-metre radius of any observation well in a Public Drinking Water Source Priority P1, P2 & P3 Areas unless the written approval of the Department of Water is first obtained.",0
"L45/494","Condition","1","1","The Licensee submitting a plan of proposed operations and measures to safeguard the environment to the Executive Director, Resource and Environmental Compliance, Department of Mines, Industry Regulation and Safety for their assessment and written approval prior to commencing any developmental or productive mining or construction activity.",0
"E70/2788","Endorsement","12","46","By approval the grant of this licence is amended to include Melbourne Lots 2 on Diagram 17890; 2078 on Deposited Plan 13621; 1820 on Deposited Plan 137046; 3183 on Deposited Plan 87290; 1015 & 1016 on Deposited Plan 201908; 20 on Diagram 78565; 3256 on Deposited Plan 154282; 3397 on Deposited Plan 158681; 3398 on Deposited Plan 158682; and Melbourne Locations 2060 & 2726 on Cert of Title 1889 folio 434 to a depth of 30 metres from the natural surface.",0
"L59/50","Condition","5","5","Development and operations, as approved by the Inspector, being carried out in such a manner so as to create the minimum practicable disturbance to the existing vegetation and natural landform.",0
"E08/3013","Endorsement","10","17","Advice shall be sought from the Department of Water and Environmental Regulation (DWER) and the relevant water service provider if proposing exploration activity in an existing or designated future irrigation area, or within 50 meters of a channel, drain or watercourse from which water is used for irrigation or any other purpose, and the proposed activity may impact water users.",0
"G26/84","Condition","9","12","The construction and operation of the project and measures to protect the environment to be carried out generally in accordance with the document titled
* ""Notice of Intent - Fimiston Project Phase II - New Tailings Storage"" dated March 1991 and retained on Mines Department File No. 1140/91.
* ""Notice of Intent - Fimiston II Tailings Storage Extension"" dated October 1994 and retained on Department of Minerals and Energy File No: 2249/94.
* ""Poolwall Trial at Fimiston II Tailings Storage"" and dated 2 December 1996 and retained on Department of Minerals and Energy File No. 2001/97.
* ""Poolwall Operations at the Fimiston II Tailings Storage"" dated 19 August 1997 and signed by Mr John Holdsworth - Manager Mineral Processing Kalgoorlie Consolidated Gold Mines and retained on Department of Minerals and Energy File No. 2053/97.
* ""Addendum to Notice of Intent: Proposed Increase in the Storage Capacity of the Fimiston II Tailings Storage Facility at KCGM Volume I and Volume II"" (MP 5711) dated September 2005, written by Golder Associates, unsigned and retained on Department of Industry and Resources File No. E2561/200312;
* Letter of commitment titled ""re: Addendum to the Mining Proposal for the Increase in Height of the Fimiston II TSF"" (MP 5711) dated 16 January 2006, signed by Russell Cole, General Manager KCGM and retained on Department of Industry and Resources File No. E2561/200312;
* (Reg ID: 56261) “Fimiston II Tailings Storage Facility Height Increase – Mining Proposal “ dated 7 September 2015 signed by Ian Butler -- General Manager (Acting), and retained on Department of Mines and Petroleum file no. EARS-MP-56261 as Doc ID 3796089;
* (MCP Reg ID 73194) ""Kalgoorlie Consolidated Gold Mines, Mine Closure Plan, March 2018"" dated 23 March 2018 signed by Cecile Thaxter, General Manager, and retained on Department of Mines, Industry Regulation and Safety File No. EARS-MCP-73194 as Doc ID 5663597;
* (MP Reg ID 75568) ""Mining Proposal - Fimiston Tailings Storage Facilities Closure Implementation Project"" dated 6 August 2018 signed by Cecile Thaxter, General Manager, and retained on Department of Mines, Industry Regulation and Safety File No. EARS-MP-75568 as Doc ID 5951348
Where a difference exists between the above documents and the following conditions, then the following conditions shall prevail.",0
"G52/217","Condition","6","7","The Lessee submitting to the Executive Director, Environment Division, DMP, a brief annual report outlining the project operations, minesite environmental management and rehabilitation work undertaken in the previous 12 months and the proposed operations, environmental management plans and rehabilitation programmes for the next 12 months. This report to be submitted each year in: 
* June",0
"E45/4871","Condition","11","11","The rights of ingress to and egress from the pipeline easement established in Condition 5 hereof being at all times preserved for employees, contractors and agents of the operators of the Gas/Petroleum pipeline.",0
"E70/4678","Condition","8","11","Exploration and related activities and measures to protect the environment being carried out in accordance with the document Conservation Management Plan for the exploration and prospecting at Wilga on M70/781, M70/930, M70/931, M70/973, E 70/4678 and E 70/4868 in State Forest 29 version 3C, dated March 2018 and retained on Department of Mines, Industry Regulation and Safety’s (DMIRS’s) files numbered E 70/4868 and E70/4678.",0
"G52/15","Condition","3","3","No development or construction being commenced until the lessee has submitted a plan of proposed operations and measures to safeguard the environment to the Director, Environment, DoIR for assessment; and until his written approval has been obtained.",0
"M77/1246","Condition","17","19","The lessee ensuring that all matter containing saline or other process chemical constituents being retained within holding facilities, such that there is no impairment of surface or underground waters.",0
"M70/1340","Condition","8","9","The construction and operation of the project and measures to protect the environment to be carried out in accordance with the document titled:
* (MP Reg ID 55519) ""Mining Proposal M70/1340; Lake Buchan Gypsum"" dated 21 May 2015 signed by Regan Scott Grant and Melita Grant and retained on Department of Mines and Petroleum File No. EARS-MPMLA-55519;
* (MCP Reg ID 55519) ""Mine Closure Plan M70/1340; Lake Buchan Gypsum"" dated 21 May 2015 signed by Regan Scott Grant and Melita Grant and retained on Department of Mines and Petroleum File No. EARS-MPMLA-55519 
Where a difference exists between the above document(s) and the following conditions, then the following conditions shall prevail.",0
"G74/8","Condition","7","8","At agreed intervals, not greater than 12 monthly, the licensee providing a brief report to the Director, Environment, DMP outlining the progress of the operation and rehabilitation program and the proposed operations and rehabilitation programs for the next 12 months.",0
"E70/5173","Condition","16","18","No mining within 30 metres of either side and to a depth of 15 metres of the Rail Corridor Land 86 (Moora-Millendon Junction) as shown in TENGRAPH without the prior written approval of the Minister responsible for the Mining Act 1978.",0
"G77/3","Condition","33","45","Where saline water is used for dust suppression, all reasonable measures being taken to avoid any detrimental effects to surrounding vegetation and topsoil stockpiles, to the satisfaction of an Environmental Officer, DMP.",0
"CML12/642","Condition","6","6","Mining and rehabilitation measures being carried out in such a manner so as not to unduly interfere with the natural drainage on the Wellington Dam catchment.",0
"L53/149","Condition","21","23","All operations and activities being carried out at such times and in such a manner as not to interfere with the full use of Rifle Range Reserve 12188 for rifle practice and no person being domiciled on the Rifle Range.",0
"M46/264","Endorsement","2","35","The grant of this Lease does not include land the subject of Mining Lease 46/170 and former Prospecting Licences 46/1206 and 46/1207 .",0
"E29/1024","Condition","6","6","The rights of ingress to and egress from Miscellaneous Licence 29/99 being at all times preserved to the licensee and no interference with the purpose or installations connected to the licence.",0
"M70/1031","Condition","19","24","The rights of ingress to and egress from any mining operation being at all reasonable times preserved to the authorised officers of Water and Rivers Commission (W&RC) and the Water Corporation for inspection purposes.",0
"E15/1591","Condition","12","12","No explosives being used or stored within one hundred and fifty (150) metres of the rail corridor land without the prior written consent of the Director, Dangerous Goods and Petroleum Safety Branch, DMIRS.",0
"G53/11","Condition","10","14","Any alteration or expansion of operations within the lease boundaries beyond that outlined in the above document, not commencing until a plan of operations and a programme to safeguard the environment are submitted to the State Mining Engineer for his assessment and until his written approval to proceed has been obtained.",0
"M37/25","Condition","30","47","The construction of the tailings impoundment embankment shall be supervised by an engineering / geotechnical specialist. During the construction period the in situ properties for the tailings within the Sons of Gwalia No.1 storage and the Grants Patch storages should be determined.",0
"E80/4506","Condition","6","7","Entry on Use & Benefit of Aborigines Reserve 24923 and activities undertaken on the licence by any non-Aboriginal lessee, licensee, employee, contractor or agent being authorised by an entry permit issued under the provisions of the Aboriginal Affairs Planning Authority Act 1972.",0
"M70/1197","Condition","29","33","The Lessee submitting to the Executive Director, Environment Division, DMP, a brief annual report outlining the project operations, minesite environmental management and rehabilitation work undertaken in the previous 12 months and the proposed operations, environmental management plans and rehabilitation programmes for the next 12 months. This report to be submitted each year in:
* June.",0
"M24/403","Condition","20","37","The Environmental Officer is to be notified in writing upon completion of all scraping and detecting activities so that an inspection may be arranged.",0
"E70/2789","Condition","16","17","Construction of drainage or use of drainage that discharges directly into waters is prohibited without appropriate licensing from the the Department of Environment.",0
"M53/1017","Endorsement","4","28","The lessee pursuant to the approval of the Minister for State Development under Section 111 of the Mining Act 1978 is authorised to work and mine for iron.",0
"G09/17","Endorsement","13","17","No activity in respect to the lease purpose is to be carried out that may obstruct or interfere with the waters, bed or banks of a watercourse, wetland or other surface water body under section 17 of the Rights in Water and Irrigation Act 1914, unless in accordance with a permit issued by the Department of Water and Environmental Regulation (DWER).",0
"L46/84","Condition","23","23","On the completion of operations or progressively when possible, all waste dumps, tailings storage facilities, stockpiles or other mining related landforms must be rehabilitated to form safe, stable, non-polluting structures which are integrated with the surrounding landscape and support self-sustaining, functional ecosystem comprising suitable, local provenance species or an alternative agreed outcome to the satisfaction of an Environmental Officer, DMP.",0
"L47/726","Condition","9","9","The construction and operation of the project and measures to protect the environment to be carried out in accordance with the document titled:
* (MP Reg ID 82535) “First Iron Project Mining Proposal Addendum (Rev 2)” dated 5 December 2019 signed by Fergus Campbell, and retained on Department of Mines, Industry Regulation and Safety File No. EARS-MP-82535 as Doc ID 7037601 
Where a difference exists between the above document(s) and the following conditions, then the following conditions shall prevail.",0
"M39/84","Condition","11","16","The upper face of the open pit being battered to a safe angle and the perimeter of the pit protected by a substantial bund of suitable waste rock.",0
"CML12/753","Condition","23","23","No interference with the power line or the installations in connection therewith.",0
"L53/139","Condition","4","4","All topsoil that may be removed ahead of pipelaying operations to be stockpiled for replacement in accordance with the directions of the Inspector.",0
"E36/873","Condition","6","6","No mining within 25 metres of either side of the Gas/Petroleum pipeline contained within Petroleum Pipeline Licence No 65 and 24 as shown in TENGRAPH.",0
"L52/71","Condition","8","8","On the completion of the life of mining operations in connection with Miscellaneous Licence 52/71 the holder shall:
* remove all installations constructed pursuant to this licence; and
* on such areas as cleared of natural growth by the holder or any of its agents, the holder shall plant trees and/or shrubs and/or any other plant as shall conform to the general pattern and type of growth in the area and as directed by the Inspector and properly maintain same until the Inspector advises regrowth is self supporting.
Unless the Mining Registrar or Minister for Mines orders or consents otherwise.",0
"M15/1305","Condition","26","42","Management of mine closure to be undertaken in accordance with the mine closure plan titled ""Bald Hill Tantalum‐Lithium Project Mine Closure Plan"" Registration ID 72575 dated 23 February 2018 signed by Simone Suen and retained on Department of Mines, Industry Regulation and Safety File No. EARS-MPMCP-72575 Doc ID 5617657.",0
"L47/800","Condition","6","6","No interference with the purpose or installations connected to Pastoral Lease N50438.",0
"M26/95","Condition","18","22","Mining being limited by the conditions expressed in a letter of consent dated 13 October 1988 from the Shire of Boulder and filed at pages 26 and 267 of MF 6126/88 vol 2.",0
"P70/1300","Condition","13","14","The construction and operation of the project and measures to protect the environment to be carried out in accordance with the document titled:
* ""Dieback (Phytophthora cinnamomi) Management Protocol - Exploration Works"" dated March 2014 and signed by Vern Newton and retained on Department of Mines and Petroleum File No. EARS-POW-56269",0
"M77/585","Condition","12","16","At agreed intervals, not greater than 12 monthly, the lessee providing a brief report to the State Mining Engineer outlining the progress of the operation and rehabilitation program and the proposed operations and rehabilitation programs for the next 12 months.",0
"G45/257","Condition","7","7","The construction and operation of the project and measures to protect the environment being carried out in accordance with the document titled:
* ""Mining Proposal Granite Hardrock Excavation M45/23, M45/25, M45/98, G45/257 and L45/197 Tabba Tabba, Port Hedland May 2010"" (Reg ID 21406) dated 11 June 2010 signed by Wes Martini, General Manager Quarries of Boral Resources (WA) Limited and retained on Department of Mines and Petroleum File No. E0045/200901;
* (MP Reg ID: 37641) ""Letter if intent Tabba Tabba Hardrock Quarry - M45/23, M45/25, M45/98, G45/257 & L45/197 Addendum to original mining proposal, Reg: 21406"" dated 22 April 2013 signed by Craig Sargent, and retained on Department of Mines and Petroleum file No. EARS-MP-37641;
* (Reg ID 47737) ""Tabba Tabba Quarry, Port Hedland - Mine Closure Plan - August 2015"" dated 14 August 2015 signed by PC Harris and retained on Department of Mines and Petroleum File No. EARS-MCP-56324 as Doc ID 3813303
Where a difference exists between the above document(s) and the following conditions, then the following conditions shall prevail.",0
"M39/38","Condition","5","6","The construction and operation of the project and measures to protect the environment being carried out generally in accordance with the document titled:
* ""Notice of Intent - Mount Margaret MF - Tin Dog Flats"" dated 10 January 1992;
and retained on Department of Minerals and Energy File No. 1445/90
* Programme of Work entitled 'Low Impact Mining Operation - Scraping and Detecting' on P39/4567, P39/4568 and M39/38 (Reg ID 23896) dated 2 September 2009 signed by Rodney C Hodges and Murray K Hodges and retained on Department of Mines and Petroleum File No. 9827/84Vol01
Where a difference exists between the above document and the following conditions, then the following conditions shall prevail.",0
"G70/92","Condition","7","7","The construction and operation of the project and measures to protect the environment being carried out generally in accordance with the documents titled:
* ""Western Australian Silicon Project Environmental Review and Management Programme"" by West Australian Silicon Trust dated 1986 and retained on Department of Minerals and Energy File No:1078/85.
* ""Barrack Silicon Project Public Environmental Report"" by Barrack Silicon Pty Ltd dated November 1987 and retained on Department of Minerals and Energy File No: 685/87.
* ""Environmental Management Programme for Barrack Silicon Pty Ltd"" by BHP Engineering dated June 1989 and retained on Department of Minerals and Energy File No: 1362/88.
* ""Stage 2 Expansions: Additions to Approved Proposals to Silicon (Kemerton) Agreement Act"" by Simcoa Operations Pty Ltd (formerly Barrack Silicon Pty Ltd) dated May 1990 and retained on Department of Minerals and Energy File No: 373/88.
* ""Moora Quartzite Mine Rehabilitation Programme (with particular reference to Regelia megacephala)"" by Simcoa Operations Pty Ltd dated April 1991 and retained on Department of Minerals and Energy File No: 1614/90.
* ""Moora Quartzite Mine M70/191 Notice of Intent Proposed Open Pit Expansion and Future Mined Development"" by Simcoa Operations Pty Ltd dated March 1992 and modified by Letter of Approval of the State Mining Engineer dated 29 May 1992 and retained on Department of Minerals and Energy File No: 1282/91.
* ""Simcoa (Kemberton) Agreement Act 1987 - Simcoa Operations Pty Ltd - Moora Quartzite Mines (M70/91) - Variation to proposal West Ridge Pit Mining Development - May 2001"" and retained on Department of Minerals and Energy File No: 4238/00.
Where a difference exists between the above document(s) and the following conditions, then the following conditions shall prevail.",0
"L59/29","Condition","11","12","Ingress to and egress of pastoralists and tenement holders and officers of any Government Department that may be required to pass in or out or remain on the ground for any purpose from time to time.",0
"E70/5173","Condition","10","10","No interference with Geodetic Survey Stations PERTH 48, 204 - 206, 208 and 217, CHANDALA 2, CHANDALA 2A, MADDERN 1, MADDERN 1A, MADDERN 1T, MADDERN 2 and mining within 15 metres thereof being confined to below a depth of 15 metres from the natural surface.",0
"L27/88","Condition","16","16","The lessee will report any unplanned incident that will cause, or is likely to cause, injury to the land, including any relevant breach of environmental outcome or performance criteria in the approved mining proposal, to the Executive Director, Environment Division within 24 hours of the lessee becoming aware of the occurrence of the incident.",0
"L38/108","Condition","16","17","Written notification, where practicable, of the time frame, type and extent of proposed ground disturbing activities being forwarded to the Department of Water Kalgoorlie seven days prior to commencement of those activities.",0
"M47/59","Condition","20","22","The Lessee submitting to the Executive Director, Environment Division, DMP, a brief annual report outlining the project operations, minesite environmental management and rehabilitation work undertaken in the previous 12 months and the proposed operations, environmental management plans and rehabilitation programmes for the next 12 months. This report to be submitted each year in: 
* September.",0
"M70/652","Condition","35","48","Any alteration or expansion of operations within the lease boundaries beyond that outlined in the above document(s) not commencing until a plan of operations and a programme to safeguard the environment are submitted to the Executive Director, Environment Division, Department of Mines and Petroleum (DMP) for his assessment and until his written approval to proceed has been obtained.",0
"L26/19","Condition","7","8","On the completion of the life of mining operations on the parent tenement hereto or upon any abandonment of mining operations on such parent tenement by the applicant/holder, it shall forthwith commence and within a reasonable time:-
* remove all pipes and pipelines constructed pursuant to this Pipeline Licence or having been constructed prior to the grant of this Pipeline Licence and being the subject of this Pipeline Licence and
* on such areas as cleared of natural growth by the applicant/holder or any of its agents, it shall plant trees and/or shrubs and/or any other plant as shall conform to the general pattern and type of growth in the area and as directed by the Inspector and properly maintain same until such time as the Forests Department advises the Inspector that the whole of such regrowth is self supporting and the Inspector so advises the applicant/holder.
Unless the Warden or the Minister for Minerals and Energy orders or consents otherwise.",0
"P51/2879","Condition","7","7","In respect of the area covered by the licence the Licensee, if so requested in writing by the Wajarri Yamatji People, the applicants in Federal Court Application No. WAD 6033 of 1998 (WC2004/010), such request being sent by pre paid post to reach the Licensee's address ,not more than ninety days after the grant of this licence,shall within thirty days of the request execute in favour of Wajarri Yamatji People, the Regional Standard Heritage Agreement (RSHA) endorsed by peak industry groups and offered by the Native Title Party or their representative.",0
"L29/67","Condition","39","47","The licensee taking all reasonable measures to prevent or minimise the generation of dust from all materials handling operations, stockpiles, open areas and transport activities.",0
"M70/1066","Condition","","8","Consent to mine on Parkland and Recreation Reserve 40544 granted.",0
"E52/3031","Condition","7","7","The rights of ingress to and egress from Miscellaneous Licence 52/116 being at all times preserved to the licensee and no interference with the purpose or installations connected to the licence.",0
"L38/155","Condition","9","9","Within six months of the route for the Road corridor/s to a maximum width of [100] metres being known, the licensee is to lodge a surrender of the balance of the area of the licence; unless the Mining Registrar or Minister responsible for the Mining Act 1978 orders or consents otherwise.",0
"L37/87","Condition","7","7","At the direction of the Inspector the holder shall clear such area about any powerline as determined by the Inspector, of any dry or other growth considered by the Inspector to be a potential risk for fire or for any other reason the Inspector may deem is necessary.",0
"E70/3298","Condition","12","12","All Mining Act tenement activities prohibited within 200 metres of RAMSAR or ANCA listed wetlands unless written permission of Department of Environment and Conservation, in consultation with the Department of Water, is first obtained.",0
"E70/3179","Condition","5","5","No interference with Geodetic Survey Station PINJARRA 187, 360 & 361 and mining within 15 metres thereof being confined to below a depth of 15 metres from the natural surface.",0
"E59/2230","Condition","9","10","The licensee, at his expense, rehabilitating all areas cleared, explored or otherwise disturbed during the term of the licence to the satisfaction of the Executive Director, Environment Division, DMIRS. Such rehabilitation as is appropriate and may include:
* stockpiling and return of topsoil;
* backfilling all holes, trenches and costeans;
* ripping;
* contouring to the original landform;
* revegetation with seed; and
* capping and backfilling of all drill holes.",0
"E37/1328","Condition","7","7","No interference with Geodetic Survey Station SSM-LEONORA 75, 73 & 72 and mining within 15 metres thereof being confined to below a depth of 15 metres from the natural surface.",0
"M70/346","Condition","18","22","The lessee designating to the Regional Manager, CALM a responsible officer to direct and control the rehabilitation programme.",0
"M24/134","Condition","20","27","The construction and operation of the project and measures to protect the environment being carried out generally in accordance with the documents titled:
* ""Notice of Intent - Low Impact Mining Operations"" dated 23 February 1996 and signed by Mr Lindsay Stockdale and retained on Department of Minerals and Energy File No 414/90; and
* ""Paddington Gold Pty Ltd Leilani Pit (M24/491) Open Pit Development Notice of Intent"" dated June 1999 and retained on Department of Minerals and Energy File No 2245/99.
* ""Notice of Intent - Low Impact mining Operation - Scraping and Detecting on Mining Leases 24/133 and 24/134 (NOI 4855)"" dated 23 November and signed by Mr Andrew Radonjic and Mr Rod Hodges and retained on Department of Industry and Resources File No. E0257/200401.
* ""Notice of Intent - Low Impact Mining Operation - Scraping and Detecting on Mining Lease 24/134"" (NOI 4860) dated 23 November 2004 and signed by the tenement holder and retained on Department of Industry and Resources File No. E0006/200501.
* ""Notice of Intent - Low Impact Mining Operation - Scraping and Detecting on Mining Lease 24/134 (NOI 4862)"" dated 26 November 2004 and signed by Mr Bob Kirk and Mr Andrew Radonjic, Director and retained on Department of Industry and Resources File No. E0221/200401.
* ""Notice of Intent - Low Impact Mining Operation - Scraping and detecting on Mining Lease 24/134 (NOI 4867)"" dated 6 December 2004 and signed by Mr Bob Kirk and Mr Andrew Radonjic and retained on Department of Industry and Resources File No. E0221/200401.
* Mining Proposal titled ""Low Impact Mining Notice of Intent"" dated 8 May 2006 and signed by John Harris (MP 5322) and retained on Department of Industry and Resources File No. E2584/200301
* Programme of Work titled: ""Low Impact Mining Activities - Scraping and Detecting on Mining Lease 24/134"" dated 4 April 2008 and signed by Tim Leonard, Exploration Manager and Brad Alabach, Prospector (EXP 8780), and retained on the Department of Industry and Resources file No. 8494/01;
* (Reg ID 54297) ""Kalgoorlie North Gold Project - Mining and Haul Road Proposal - Version 3"" dated 13 May 2015 signed by David Hamlyn and retained on Department of Mines and Petroleum File No. EARS-MP-54297 as Doc ID 3575855;
* (MCP Reg ID 66407) ""Kalgoorlie North Project Mine Closure Plan Version 5"" dated 26 April 2017 signed by Rowan Johnston, Managing Director, and retained on Department of Mines, Industry Regulation and Safety File No. EARS-MCP-66407 as Doc ID 4961119
Where a difference exists between the above documents and the following conditions, then the following conditions shall prevail.",0
"E70/1542","Condition","7","8","Written notification, where practicable, of the time frame, type and extent of proposed ground disturbing activities being forwarded to the Department of Water Head seven days prior to commencement of those activities.",0
"P29/2534","Endorsement","2","8","The Licensee's attention is drawn to the provisions of section 55 of the Land Administration Act 1997.",0
"E80/2863","Endorsement","2","26","The land the subject of this licence affects a rainforest area. The licensee is advised to contact the Department of Conservation and Land Management for detailed information on the management requirements for rainforest areas and rainforest monitoring site or sites present within the tenement area.",0
"E51/1712","Endorsement","3","19","The Licensee observing the right of Main Roads' employees, its agents or contractors to remove and stockpile road making material within the land designated FNA 7148 in Tengraph.",0
"E52/3606","Condition","12","12","No explosives being used or stored within one hundred and fifty (150) metres of the Gas/Petroleum pipeline without the prior written consent of the Director, Dangerous Goods and Critical Risks, Safety Regulation, DMIRS.",0
"L37/28","Condition","13","14","Comply with the conditions of the Aboriginal Heritage Act, 1972-80 as amended and ensure that no action is taken which is likely to interfere with or damage any Aboriginal Site and further ensure that no such interference is likely as a consequence of any inaction by the applicant/holder of any of its agents.",0
"M40/120","Condition","24","38","In addition to the proposed groundwater monitoring programme, monitoring and analysis of the groundwater resident within the sub-vertical ""shear zone"" trending through the basement rock area, is to be undertaken in the immediate vicinity of Dingo Creek Well",0
"M37/570","Endorsement","4","15","The grant of this Lease does not include land the subject of late Prospecting Licence 37/5236 .",0
"M52/217","Condition","8","11","The construction and operation of the project and measures to protect the environment being carried out generally in accordance with the documents titled:
* ""Marymia Gold Project, Notice of Intent (Addendum), Marwest Deposit (M52/217-M52/218)"" dated June 1995 and retained on Department of Minerals and Energy File No. 2226/94;
* Project Management Plan for Marymia Gold Project, Notice of Intent (Addendum) Trident Boscut (M52/217), July 1997"" and letter from Resolute Resources Ltd dated August 29, 1997;
and both retained on Department of Minerals and Energy File No. 2209/97.
* ""Barrick Gold of Australia, Plutonic Gold Mine, Notice of Intent to Mine Marymia project Area, Marwest, Prickleys and Kookaburra Deposits M52/217, M52/218 and M52/235"" dated August 2002 (NOI 4092) and retained on Department of Industry and Resources File No. 5166/02;
* (MCP Reg ID 69388) ""Mine Closure Plan Marymia Gold Mine - Plutonic Dome - VANMCP (Version 2)"" dated 23 August 2017 signed by Bruce McInnes and retained on Department of Mines, Industry Regulation and Safety File No. EARS-MCP-69388 as Doc ID 5227733
Where a difference exists between the above document(s) and the following conditions, then the following conditions shall prevail.",0
"E28/2575","Condition","5","5","The rights of ingress to and egress from Miscellaneous Licence 25/46, 28/53, 25/55 (if granted) and 28/55 (if granted) being at all times preserved to the licensee and no interference with the purpose or installations connected to the licence.",0
"P37/9214","Condition","7","7","The rights of ingress to and egress from Miscellaneous Licence 37/129 being at all times preserved to the licensee and no interference with the purpose or installations connected to the licence.",0
